[2026-01-09 12:18:20.924] [INFO    ] [PERFORMANCE] [Thread-140675949056640] LoadCookiesFromCSV | 0.027s | SUCCESS
[2026-01-09 12:18:20.933] [INFO    ] [PERFORMANCE] [Thread-140675949056640] VerifyAllCookies | 0.008s | SUCCESS
[2026-01-09 12:18:24.157] [INFO    ] [PERFORMANCE] [Thread-139983616680576] BatchVerifyCookies | 0.000s | SUCCESS
[2026-01-09 12:18:45.441] [INFO    ] [PERFORMANCE] [Thread-140440263041664] InitializeTikTokAPI | 0.000s | SUCCESS
[2026-01-09 12:18:45.443] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:18:45.443] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:18:51.859] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:18:51.860] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:18:58.261] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:18:58.262] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:19:06.101] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:19:06.102] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:19:16.021] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:19:16.022] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.001s | FAILED
[2026-01-09 12:19:24.727] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:19:24.728] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:19:29.884] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:19:29.884] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:19:37.098] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:19:37.099] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:19:46.214] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:19:46.215] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.001s | FAILED
[2026-01-09 12:19:53.640] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:19:53.641] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:19:59.815] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:19:59.816] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:20:05.713] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:20:05.714] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
[2026-01-09 12:20:12.187] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:20:12.188] [INFO    ] [PERFORMANCE] [Thread-140440263041664] SearchByHashtag | 0.000s | FAILED
